video,frame,left-x,left-y,right-x,right-y,nose-x,nose-y
1,0,0.9482422,-0.3139648,0.9033203,0.371582,0.06472187,-0.2549254
1,1,0.9487305,-0.3041992,0.902832,0.3681641,0.06471215,-0.2548824
1,2,0.9482422,-0.3046875,0.8989258,0.3671875,0.06470887,-0.2551359
1,3,0.9448242,-0.3012695,0.8979492,0.3632813,0.06466962,-0.2551953
1,4,0.9511719,-0.3061523,0.9057617,0.3671875,0.06455451,-0.2549858
1,5,0.9453125,-0.3022461,0.8984375,0.3662109,0.06441375,-0.2547087
1,6,0.9428711,-0.3066406,0.9008789,0.3681641,0.06365059,-0.2544085
1,7,0.9414063,-0.3056641,0.909668,0.3647461,0.06371004,-0.2545122
1,8,0.9438477,-0.3071289,0.9082031,0.3637695,0.0637133,-0.2545622
1,9,0.9458008,-0.3051758,0.8969727,0.371582,0.06360929,-0.2544723
1,10,0.9448242,-0.3051758,0.8989258,0.3696289,0.06353936,-0.2542897
1,11,0.9433594,-0.3051758,0.902832,0.3730469,0.06352934,-0.2543211
1,12,0.9477539,-0.3095703,0.9023438,0.3881836,0.06289721,-0.2543394
1,13,0.9575195,-0.3178711,0.9492188,0.4545898,0.06282971,-0.2544561
1,14,0.934082,-0.3027344,1.043945,0.409668,0.06258881,-0.2543668
1,15,0.9438477,-0.3081055,0.8134766,0.6469727,0.05889569,-0.2531663
1,16,0.9555664,-0.2963867,0.5024414,0.5708008,0.0578618,-0.2531469
1,17,0.9707031,-0.2949219,0.2421875,0.5737305,0.05696654,-0.253163
1,18,0.9213867,-0.3168945,-0.002441406,0.6601563,0.05743317,-0.2530582
1,19,0.9458008,-0.3134766,0.1303711,0.4970703,0.05808486,-0.2529435
1,20,0.9335938,-0.3212891,-0.1665039,0.5302734,0.05878442,-0.2530895
1,21,0.9458008,-0.3266602,-0.1152344,0.527832,0.05955449,-0.253142
1,22,0.9277344,-0.3344727,-0.2041016,0.5634766,0.060589,-0.2532466
1,23,0.8813477,-0.2792969,-0.1455078,0.7182617,0.06042594,-0.2530698
1,24,0.996582,-0.2597656,-0.1455078,0.7182617,0.06057535,-0.2529464
1,25,0.8959961,-0.262207,-0.371582,1.001465,0.0608797,-0.2529991
