video,frame,left-x,left-y,right-x,right-y,nose-x,nose-y
5,0,0.9404297,-0.3066406,0.918457,0.3579102,0.04948588,-0.2494313
5,1,0.9541016,-0.2919922,0.8920898,0.3564453,0.04955968,-0.2493558
5,2,0.9589844,-0.2807617,0.8984375,0.3642578,0.04960941,-0.2493086
5,3,0.9438477,-0.2856445,0.9057617,0.3686523,0.04978504,-0.2491982
5,4,0.9418945,-0.3037109,0.8950195,0.3603516,0.05011183,-0.2489994
5,5,0.953125,-0.2988281,0.9047852,0.3803711,0.05046751,-0.2489472
5,6,0.940918,-0.2988281,0.8959961,0.4267578,0.05083071,-0.2488537
5,7,0.9316406,-0.2856445,1.10791,0.5913086,0.05076296,-0.248813
5,8,0.9448242,-0.2890625,0.9047852,0.6518555,0.05044888,-0.2487325
5,9,0.9658203,-0.277832,0.2573242,0.6054688,0.05047299,-0.2483818
5,10,0.9526367,-0.296875,0.2749023,0.6210938,0.05158977,-0.2478982
5,11,0.9399414,-0.2680664,0.09814453,0.5087891,0.0526941,-0.2478984
5,12,0.9360352,-0.2197266,0.07080078,0.2421875,0.05348764,-0.2478241
5,13,0.9487305,-0.3818359,0.3173828,0.7998047,0.05512147,-0.2478242
5,14,0.9414063,-0.2919922,-0.605957,0.7514648,0.05530039,-0.2478751
5,15,1.050781,-0.2236328,-0.6635742,0.6401367,0.05537248,-0.2479242
5,16,0.9462891,-0.2104492,-0.3115234,1.041504,0.05537687,-0.2480499
5,17,0.9360352,-0.3413086,-0.465332,1.126465,0.05460327,-0.2484436
5,18,0.9580078,-0.3320313,-0.7802734,0.7436523,0.05314473,-0.2485862
5,19,0.9243164,-0.2749023,-0.7802734,0.7436523,0.05240364,-0.2478637
5,20,0.9487305,-0.2836914,-0.9555664,0.8759766,0.05145666,-0.246925
5,21,1.003418,-0.2739258,-0.7226563,0.5722656,0.05143818,-0.2455707
5,22,0.9057617,-0.2607422,-1.120605,0.7255859,0.05159846,-0.244315
5,23,1.009277,-0.2822266,-0.5019531,0.6948242,0.05127683,-0.2436118
5,24,0.949707,-0.2597656,-0.8579102,0.8193359,0.05132168,-0.2431362
5,25,0.925293,-0.2939453,-0.04150391,0.6723633,0.05145618,-0.2425858
5,26,1.057617,-0.3208008,-0.7744141,0.6103516,0.05128395,-0.2424384
5,27,1.004883,-0.4790039,-0.6391602,0.8022461,0.05137862,-0.2421923
5,28,1.477539,-0.7285156,-0.2875977,0.6962891,0.05132817,-0.2420827
5,29,0.8720703,-1.083496,-0.6181641,0.6875,0.05315093,-0.241478
5,30,-0.262207,-0.559082,-0.3823242,0.6821289,0.05503264,-0.2405382
5,31,0.0004882813,-0.5581055,-0.4086914,0.9848633,0.0538845,-0.2412087
5,32,0.3881836,-0.6899414,-0.2670898,1.013672,0.05419059,-0.2436768
5,33,0.1801758,-0.8500977,0.02099609,1.450684,0.0545749,-0.2436067
5,34,0.04931641,-0.934082,-0.487793,1.17041,0.05502965,-0.2437003
5,35,-0.001464844,-0.9975586,-0.09765625,1.041016,0.05507407,-0.2437398
5,36,-0.02050781,-0.9716797,0.8398438,0.8540039,0.05515529,-0.2447387
5,37,-0.02539063,-0.9301758,0.05664063,0.8852539,0.05534863,-0.2445702
5,38,0.0078125,-0.9516602,-0.2783203,0.9516602,0.05553426,-0.244386
5,39,0.03515625,-0.8139648,-0.5629883,1.312012,0.05561935,-0.2444102
5,40,0.07373047,-0.7016602,-0.01269531,0.9916992,0.05551866,-0.2444625
5,41,0.1318359,-0.6865234,-0.5429688,0.9790039,0.05514401,-0.2446901
5,42,-0.3754883,-0.8691406,-0.659668,0.9990234,0.05544683,-0.2432707
5,43,0.6450195,-0.7495117,-0.4165039,0.6982422,0.05536357,-0.2431209
5,44,0.9746094,-0.6831055,-0.5429688,0.8364258,0.05657646,-0.2439361
5,45,1.22998,-0.6552734,-0.7768555,1.077637,0.05637619,-0.2447529
5,46,1.111816,-0.2685547,-0.8549805,0.7358398,0.05622083,-0.2447754
5,47,1.130859,-0.2705078,-0.9199219,0.4194336,0.05590554,-0.2437352
5,48,0.9726563,-0.3505859,-0.8227539,0.2109375,0.05580705,-0.2430068
5,49,0.8447266,-0.3383789,-0.871582,0.1411133,0.05566604,-0.2431628
5,50,0.9741211,-0.2285156,-0.6899414,0.2275391,0.05587269,-0.2430696
5,51,1.061523,-0.2949219,-1.249023,0.08935547,0.05609548,-0.2425758
5,52,0.9277344,-0.2485352,-1.163086,0.2036133,0.05570988,-0.2432966
5,53,0.9716797,-0.2421875,-1.099121,0.5546875,0.053669,-0.2459225
5,54,0.9643555,-0.246582,-0.7539063,1.066406,0.05292427,-0.2474374
5,55,0.9306641,-0.2333984,-0.3588867,1.03125,0.0527934,-0.2476651
5,56,0.894043,-0.3261719,-0.5683594,0.7050781,0.05352967,-0.246716
5,57,0.9819336,-0.1645508,-0.8242188,0.4580078,0.05444391,-0.245927
5,58,0.9477539,-0.2543945,-0.8081055,0.3808594,0.05475028,-0.2457969
5,59,0.9248047,-0.2504883,-1.137695,-0.2470703,0.05476711,-0.2456218
5,60,0.9423828,-0.2226563,-0.8408203,-0.1088867,0.05479466,-0.2453809
5,61,0.9814453,-0.284668,-0.8344727,-0.1142578,0.054888,-0.2450716
5,62,0.9619141,-0.2729492,-0.871582,0.6738281,0.05259254,-0.2462514
5,63,0.9541016,-0.2797852,-0.690918,0.9091797,0.05423424,-0.2476262
5,64,0.9638672,-0.3139648,0.06933594,1.102539,0.05464913,-0.2476368
5,65,0.9155273,-0.3100586,0.1870117,1.177734,0.05478044,-0.2475837
5,66,0.9550781,-0.2958984,-0.06396484,0.8105469,0.05466926,-0.2475542
5,67,0.9741211,-0.25,0.3422852,0.8544922,0.05380981,-0.2473523
5,68,1.007813,-0.2612305,-0.1918945,0.6894531,0.05330212,-0.2472018
5,69,0.9697266,-0.2436523,-0.7441406,0.3129883,0.0531536,-0.2471182
5,70,0.9428711,-0.2734375,-0.4575195,0.2709961,0.05305471,-0.2469787
5,71,0.9492188,-0.2719727,-0.6777344,0.53125,0.05296461,-0.2468247
5,72,0.9511719,-0.2680664,-0.6977539,0.703125,0.05300229,-0.2468296
5,73,0.9667969,-0.3364258,-0.4672852,0.7412109,0.05300219,-0.2468445
5,74,0.9838867,-0.2514648,-0.7524414,0.6889648,0.05300421,-0.2467956
5,75,0.9404297,-0.2944336,-1.099609,0.8129883,0.05354554,-0.2463591
5,76,0.9863281,-0.2905273,-1.23291,0.7763672,0.05357058,-0.2458151
5,77,0.9379883,-0.3178711,-0.862793,0.6308594,0.05386185,-0.2449118
5,78,1.215332,-0.3569336,-0.05371094,0.394043,0.0546247,-0.2438738
5,79,1.536133,-0.4707031,-0.5834961,0.4667969,0.05558392,-0.2426363
5,80,0.5043945,-0.8950195,-0.8032227,0.2597656,0.05806951,-0.2402088
5,81,0.008300781,-0.2504883,-0.4091797,0.2895508,0.06055577,-0.2360513
5,82,0.3491211,-0.07519531,-0.2880859,0.5258789,0.06096063,-0.2354323
5,83,0.1464844,-0.8154297,-1.070801,0.9370117,0.05995408,-0.2379112
5,84,0.7641602,-0.6503906,-0.4194336,1.293945,0.05971298,-0.2397925
5,85,1.01123,-0.9072266,0.972168,1.175293,0.05968682,-0.242089
5,86,0.5229492,-0.6098633,0.8022461,1.018555,0.05917026,-0.2431167
5,87,0.6665039,-0.4326172,0.3041992,0.8828125,0.05815562,-0.2438183
5,88,0.9057617,-0.4204102,0.7480469,0.9091797,0.05727509,-0.244424
5,89,0.9995117,-0.2851563,0.2119141,0.9130859,0.05587251,-0.2448256
5,90,1.04248,-0.2275391,-0.3408203,0.4262695,0.05478171,-0.2455608
5,91,1.010254,-0.355957,0.1699219,0.6293945,0.05453778,-0.2458371
5,92,1.001465,-0.3115234,-0.2041016,0.590332,0.05425086,-0.2461428
5,93,0.9853516,-0.3300781,-0.2485352,0.7177734,0.05404475,-0.2463319
5,94,0.8691406,-0.2680664,-0.00390625,0.7768555,0.05343276,-0.246478
5,95,0.972168,-0.2783203,-0.2587891,0.6738281,0.05302344,-0.2464267
5,96,0.9853516,-0.2875977,0.1123047,0.315918,0.05213888,-0.2461349
